user_input,reference
부산대학교역에 있는 무인 민원발급기의 위치는 어디인가요?,"부산대학교역에 있는 무인 민원발급기는 지상 1층에 위치하며, 금정구청에서 관리합니다."
"안녕하세요, 연산에서 순찰팀이 어디에서 근무하는지와 연산역에 간호실이 있는지 알려주실 수 있나요?","순찰팀은 연산에서 근무하며, 이는 지역 거점 업무의 3권역(노포~연산)에 해당하고, 출퇴근 시간대(08:00 ~ 19:00) 주요 환승역에서 집중 순찰이 이루어지는 주요 장소입니다. 또한, 부산 지하철 1호선 연산역에는 전용 간호실이 마련되어 있습니다."
덕천역의 부산 지하철 에스컬레이터 유지보수 세부사항,"덕천역은 코드 6786-313으로 '덕천(독)'으로 등록되어 있으며, 부산 지하철 시스템의 일부입니다. 유지보수 엔지니어로서, 이 역의 에스컬레이터 수리 및 유지보수를 담당하게 되며, 사직에서 대저까지의 역이 포함된 노선에 위치해 있습니다."
"안녕하세요, 부산에서 다자녀 가구를 위한 가족사랑카드가 어떻게 작동하는지 설명해 주실 수 있나요? 그리고 공공교통 비용 구조를 조사하는 재무 분석가로서 자격을 확인할 수 있는 곳은 어디인가요?","부산에서 다자녀 가구가 가족사랑카드를 소지하지 않은 경우, 자격 및 관련 정보를 확인하기 위해 가족사랑카드 조회 사이트를 활용할 수 있습니다. 해당 웹사이트는 https://familycard.busan.go.kr/flcBpass/flcCardList.do 입니다."
부산시 도시철도법 시행령에 따른 운임 조정 절차와 같은 조례에 따라 운임 조정 위원회가 어떻게 운영되는지?,"부산시에서 도시철도법 시행령에 따른 운임 조정 절차는 다음과 같은 구조화된 과정으로 진행됩니다: 첫째, 운임 상한범위 조정 요청이 부산시에 제출되어 조정의 필요성이 강조됩니다. 둘째, 교통혁신위원회와 물가대책위원회의 심의를 통해 운임 상한범위가 결정됩니다. 셋째, 이사회 의결을 통해 운임이 최종 확정되고 부산시에 신고됩니다. 넷째, 부산시는 신고된 운임 조정 금액을 확인합니다. 마지막으로, 조정 사항이 기획재정부와 국토교통부에 통보됩니다. 운임 조정 위원회에 관해서는 도시철도법 시행령 제22조에 따라 시장 또는 도지사가 이 위원회를 설치하여 의견을 수렴해야 하며, 위원회의 절반 이상이 민간 위원이어야 합니다. 부산에서는 부산교통공사 설치조례 제10조에 따라 운임 조정 위원회의 기능이 부산광역시 물가대책위원회에 의해 수행됩니다."
부산 도시철도 노선도랑 엘리베이터 몇개 있어?,"부산 도시철도는 각 호선별로 노선도를 다운로드할 수 있으며, 엘리베이터는 1호선에 총 160대, 2호선에 총 172대, 3호선에 총 68대, 4호선에 총 47대가 있습니다. 호포역의 엘리베이터 1대는 운행정지 상태입니다."
"재무 분석가로서, 대중교통 기관의 홈페이지 시스템에서 회원 관리와 관련하여 이메일주소의 역할을 설명해 주실 수 있나요?",대중교통 기관의 홈페이지 시스템에서 회원 관리와 관련하여 이메일주소는 등록 과정에서 수집되는 필수 항목입니다. 이는 홈페이지 시스템 운영 및 회원 정보를 관리하는 서비스 제공의 일환으로 사용됩니다.
"안녕하세요, 정기권 요금이 성인과 청소년에게 어떻게 다른지, 그리고 시스템 업데이트에 따라 정기권 사용 횟수가 차감되지 않는 문제에 대해 알려주실 수 있나요?","정기권 요금은 성인과 청소년에 대해 다르게 설정되어 있으며, 각 카테고리에 대해 별도의 가격이 책정되어 있습니다. 사용 횟수가 차감되지 않는 문제에 대해서는, 2019년 1월 1일 시스템 업데이트 이후 운임 차감 프로세스에 변화가 있었으며, 특히 정기권의 경우 시스템 세부 사항에 언급된 초기 설정에 따라 사용 횟수가 차감되지 않는 것으로 확인되었습니다."
부산 도시철도 2호선의 양산과 같은 주요 역에 장애인 화장실이 있는 것은 부산-김해 경전철과 동해남부선 간의 환승 제한과 어떻게 관련이 있나요?,"양산과 같은 부산 도시철도 2호선의 주요 역에 장애인 화장실이 있다는 것은 네트워크의 접근성 기능을 강조하며, 장애인을 포함한 모든 승객을 위한 시설이 마련되어 있음을 보장합니다. 그러나 이러한 접근성 조치에도 불구하고 부산-김해 경전철과 동해남부선 간의 환승 불가와 같은 환승 제한이 존재합니다. 이는 역 시설에서 물리적 접근성이 해결되고 있지만, 더 넓은 도시 교통 네트워크 내에서 연결성과 환승 옵션에는 여전히 제한이 있음을 나타냅니다."
메트로페이가 무엇이며 부산 지하철 승객에게 어떻게 작동하나요?,"메트로페이는 승객이 앱을 다운로드하고 자동 발매기나 지정된 장소에서 현금 또는 계좌 이체로 충전하여 사용할 수 있는 가치를 저장하는 시스템입니다. 부산 지하철의 경우, 승객이 메트로페이를 충전할 때, 요금을 지불하거나 교통카드를 사용하는 등의 조건에 따라 여객 운송 계약이 성립됩니다."
도시철도와 동해선 간의 환승 시 부산구간의 요금 구조를 설명해 주실 수 있나요?,"도시철도와 동해선 간의 환승 시 부산구간의 요금 구조는 다음과 같습니다: 도시철도에서 동해선(부산구간)으로 환승하는 어른의 경우 기본운임은 1,600원이며, 10km마다 200원의 추가운임이 부과됩니다. 청소년의 경우 기본운임은 1,050원이며, 10km마다 150원의 추가운임이 부과됩니다. 어린이는 기본운임이 무료이며, 650원의 기본운임과 10km마다 100원의 추가운임이 부과됩니다. 동해선(부산구간)에서 도시철도로 환승할 때 어른은 기본운임 1,600원에 추가로 150원과 1,450원, 10km마다 200원이 부과됩니다. 청소년은 기본운임 1,050원에 추가로 1,050원과 10km마다 150원이 부과됩니다. 또한 도시철도 2구간의 요금은 하차 시 어른 200원, 청소년 100원, 어린이 0원이 부과됩니다. 부산구간의 동해선 추가운임은 최초 10km를 초과할 경우 10km마다 적용됩니다."
기차에서 기부 활동을 하는 것에 대한 벌칙은 무엇인가요?,"기부 활동은 물품 판매, 연설, 권유와 함께 기차에서 승객에게 불편을 끼치는 행위로 간주되며, 경범죄처벌법 제3조에 따라 최대 50만원의 벌금에 처해질 수 있습니다."
부산 지하철 시스템에서 DGM이란 무엇인가요?,"부산 지하철 시스템에서 DGM은 반환 처리 시 사용되는 특정 카테고리 또는 코드로, 반환 건수와 반환 금액, 카드 번호 입력을 통해 운임 환불을 처리하는 데 사용됩니다."
